# 缠论策略实测标的池 —— 50 只
#
# 选取口径：沪深主板 + 创业板 + 科创板，每个板块内挑流动性最好的行业龙头，
# 尽量铺满行业（银行/保险/白酒/医药/电子半导体/新能源/汽车/家电/地产/建材/
# 煤炭/有色/钢铁/石化/电力/交运/军工/互联网/通信），避免单一行业样本偏差。
#
# 一行一只：`代码 名称`（代码用新浪格式 sh/sz + 6 位，名称仅作注释用）。
# 想换标的直接改本文件，`scripts/scan_pool.py` 会读它。
#
# ⚠️ 这不是「股票池推荐」，只是为了给策略参数标定凑够样本量。
# 50 只是**起点**：单只出点约 0.2 次/年，50 只 × 1 年 ≈ 10 笔量级，
# 仍不足以支撑窗口结论，理想是 100~300 只。

# ---- 沪市主板 ----
sh600519 贵州茅台
sh601318 中国平安
sh600036 招商银行
sh601398 工商银行
sh601288 农业银行
sh601988 中国银行
sh601169 北京银行
sh600030 中信证券
sh600276 恒瑞医药
sh600887 伊利股份
sh600309 万华化学
sh601899 紫金矿业
sh600028 中国石化
sh601857 中国石油
sh601088 中国神华
sh600900 长江电力
sh601012 隆基绿能
sh600438 通威股份
sh600585 海螺水泥
sh600048 保利发展
sh601668 中国建筑
sh601390 中国中铁
sh601766 中国中车
sh600009 上海机场
sh600104 上汽集团
sh601633 长城汽车
sh600690 海尔智家
sh600570 恒生电子
sh600588 用友网络
sh601888 中国中免
sh603259 药明康德
sh603288 海天味业
sh601127 赛力斯
sh603501 韦尔股份
sh601225 陕西煤业
sh601600 中国铝业
sh600019 宝钢股份

# ---- 科创板 ----
sh688981 中芯国际
sh688111 金山办公
sh688012 中微公司

# ---- 深市主板 / 创业板 ----
sz000001 平安银行
sz000002 万科A
sz000333 美的集团
sz000651 格力电器
sz000858 五粮液
sz002415 海康威视
sz002594 比亚迪
sz002230 科大讯飞
sz300750 宁德时代
sz300059 东方财富
