# 六脉神剑 / 缠论策略回测标的池 —— 500 只
#
# 选取口径：全市场（沪深主板/创业板/科创板，剔 ST）**随机抽样** 500 只，种子 20260920；
# 剔除 ST/退市、北交所（新浪日线接口不支持）。
# 生成命令：`python scripts/build_pool.py --n 500 --mode random --seed 20260920`
#
# 一行一只：`代码 名称`（代码用新浪格式 sh/sz + 6 位，名称仅作注释）。
#
# ⚠️ 这不是「股票池推荐」，只是为策略评估凑样本量的**回测样本**。
# 池子构成与后续涨跌**无关**，是评价择时策略的公正样本；
# 对比 `pool_liquid500.txt`（按成交额选，含前视选择偏差）。

sz000031 大悦城
sz000062 深圳华强
sz000099 中信海直
sz000158 常山北明
sz000403 派林生物
sz000407 胜利股份
sz000409 云鼎科技
sz000430 张家界
sz000517 荣安地产
sz000554 泰山石油
sz000576 甘化科工
sz000592 平潭发展
sz000595 新能股份
sz000596 古井贡酒
sz000598 兴蓉环境
sz000603 盛达资源
sz000672 上峰材料
sz000685 中山公用
sz000697 炼石航空
sz000717 中南股份
sz000720 新能泰山
sz000731 四川美丰
sz000807 云铝股份
sz000815 美利云
sz000860 顺鑫农业
sz000898 鞍钢股份
sz000917 电广传媒
sz000935 四川双马
sz000955 欣龙控股
sz000960 锡业股份
sz000975 山金国际
sz000998 隆平高科
sz001221 悍高集团
sz001232 嘉立创
sz001233 海安集团
sz001236 弘业期货
sz001266 宏英智能
sz001267 汇绿生态
sz001282 三联锻造
sz001289 龙源电力
sz001322 箭牌家居
sz001325 元创股份
sz001366 播恩集团
sz001389 广合科技
sz001965 招商公路
sz002010 传化智联
sz002016 世荣兆业
sz002022 科华生物
sz002036 联创电子
sz002053 云南能投
sz002061 浙江交科
sz002081 金螳螂
sz002090 金智科技
sz002091 江苏国泰
sz002097 山河智能
sz002099 海翔药业
sz002105 信隆健康
sz002123 梦网科技
sz002126 银轮股份
sz002161 远望谷
sz002173 创新医疗
sz002185 华天科技
sz002192 融捷股份
sz002203 海亮股份
sz002223 鱼跃医疗
sz002228 合兴包装
sz002237 恒邦股份
sz002243 力合科创
sz002250 联化科技
sz002254 泰和新材
sz002264 新华都
sz002269 美邦服饰
sz002275 桂林三金
sz002287 奇正藏药
sz002289 宇顺电子
sz002292 奥飞娱乐
sz002294 信立泰
sz002297 博云新材
sz002311 海大集团
sz002314 南山控股
sz002317 众生药业
sz002334 英威腾
sz002349 精华制药
sz002357 富临运业
sz002363 隆基机械
sz002365 永安药业
sz002369 卓翼科技
sz002392 北京利尔
sz002400 省广集团
sz002414 高德红外
sz002416 爱施德
sz002423 中粮资本
sz002470 金正大
sz002479 富春环保
sz002481 双塔食品
sz002496 辉丰股份
sz002506 协鑫集成
sz002517 恺英网络
sz002524 光正眼科
sz002541 鸿路钢构
sz002544 普天科技
sz002546 新联电子
sz002554 惠博普
sz002562 兄弟科技
sz002567 唐人神
sz002570 贝因美
sz002573 清新环境
sz002583 海能达
sz002612 朗姿股份
sz002613 北玻股份
sz002614 奥佳华
sz002616 长青集团
sz002622 皓宸医疗
sz002625 光启技术
sz002636 金安国纪
sz002639 雪人集团
sz002662 峰璟股份
sz002672 东江环保
sz002675 东诚药业
sz002687 乔治白
sz002692 远程股份
sz002693 双成药业
sz002701 奥瑞金
sz002703 浙江世宝
sz002705 新宝股份
sz002718 友邦吊顶
sz002725 跃岭股份
sz002755 奥赛康
sz002767 先锋电子
sz002772 众兴菌业
sz002777 久远银海
sz002788 鹭燕医药
sz002795 永和智控
